;ano;retention;regiao_saude
7;2021-01;0.75;31009
8;2022-01;0.875;31009
9;2023-01;0.6916666666666667;31009
10;2024-01;0.6533333333333333;31009
0;2014-01;0.8333333333333333;31003
1;2015-01;0.8888888888888888;31003
2;2016-01;0.8541666666666666;31003
3;2017-01;0.8541666666666666;31003
4;2018-01;0.7916666666666666;31003
5;2019-01;0.8333333333333334;31003
6;2020-01;0.9;31003
7;2021-01;0.9;31003
8;2022-01;0.9;31003
9;2023-01;1.0;31003
10;2024-01;1.0;31003
0;2014-01;1.0;31057
1;2015-01;0.9444444444444445;31057
2;2016-01;0.875;31057
3;2017-01;0.9;31057
4;2018-01;0.6666666666666666;31057
5;2019-01;0.7333333333333333;31057
6;2020-01;0.6;31057
7;2021-01;0.7333333333333333;31057
8;2022-01;0.7666666666666667;31057
9;2023-01;0.7666666666666667;31057
10;2024-01;0.8666666666666666;31057
0;2014-01;0.9166666666666667;31006
1;2015-01;0.9444444444444445;31006
2;2016-01;0.8333333333333334;31006
3;2017-01;0.9166666666666666;31006
4;2018-01;0.9375;31006
5;2019-01;1.0;31006
6;2020-01;1.0;31006
7;2021-01;0.9166666666666666;31006
8;2022-01;0.7916666666666666;31006
9;2023-01;0.6666666666666666;31006
10;2024-01;0.7333333333333333;31006
0;2014-01;0.875;31092
1;2015-01;0.9166666666666666;31092
2;2016-01;0.875;31092
3;2017-01;0.7125;31092
4;2018-01;0.8083333333333332;31092
5;2019-01;0.8083333333333332;31092
6;2020-01;0.8;31092
7;2021-01;1.0;31092
8;2022-01;0.8055555555555555;31092
9;2023-01;0.8125;31092
10;2024-01;0.5833333333333333;31092
0;2014-01;0.7647058823529411;31024
1;2015-01;0.723529411764706;31024
2;2016-01;0.6686274509803921;31024
3;2017-01;0.711764705882353;31024
4;2018-01;0.8220588235294117;31024
5;2019-01;0.83125;31024
6;2020-01;0.6770833333333333;31024
7;2021-01;0.7083333333333333;31024
8;2022-01;0.7083333333333333;31024
9;2023-01;0.84375;31024
10;2024-01;0.7666666666666666;31024
0;2014-01;0.9444444444444444;31099
1;2015-01;0.9259259259259259;31099
2;2016-01;0.7777777777777778;31099
3;2017-01;0.7555555555555555;31099
4;2018-01;0.7;31099
5;2019-01;0.7083333333333334;31099
6;2020-01;0.8333333333333334;31099
7;2021-01;0.8;31099
8;2022-01;0.9;31099
9;2023-01;0.9;31099
10;2024-01;0.8;31099
0;2014-01;0.9743589743589743;31075
1;2015-01;0.8247863247863249;31075
2;2016-01;0.8934294871794872;31075
3;2017-01;0.8378205128205127;31075
4;2018-01;0.7583333333333333;31075
5;2019-01;0.7666666666666666;31075
6;2020-01;0.7861111111111111;31075
7;2021-01;0.846969696969697;31075
8;2022-01;0.7987878787878787;31075
9;2023-01;0.7218831168831169;31075
10;2024-01;0.7795454545454545;31075
0;2014-01;1.0;31064
1;2015-01;1.0;31064
2;2016-01;0.8333333333333333;31064
3;2017-01;0.8333333333333333;31064
4;2018-01;0.6666666666666666;31064
5;2019-01;0.7777777777777778;31064
6;2020-01;0.8333333333333334;31064
7;2021-01;1.0;31064
8;2022-01;0.8333333333333334;31064
9;2023-01;0.8333333333333334;31064
10;2024-01;0.75;31064
0;2014-01;0.75;31055
1;2015-01;0.75;31055
2;2016-01;0.875;31055
3;2017-01;0.75;31055
4;2018-01;0.75;31055
5;2019-01;0.9166666666666666;31055
6;2020-01;0.8333333333333334;31055
7;2021-01;0.875;31055
8;2022-01;0.8333333333333334;31055
9;2023-01;0.875;31055
10;2024-01;0.875;31055
0;2014-01;0.7697368421052632;31086
1;2015-01;0.7988721804511277;31086
2;2016-01;0.787124060150376;31086
3;2017-01;0.8296992481203007;31086
4;2018-01;0.8303571428571428;31086
5;2019-01;0.8214285714285714;31086
6;2020-01;1.0;31086
7;2021-01;1.0;31086
8;2022-01;0.9;31086
9;2023-01;0.8;31086
10;2024-01;0.8;31086
0;2014-01;0.8;31002
1;2015-01;0.6;31002
2;2016-01;0.6;31002
3;2017-01;0.6;31002
4;2018-01;0.6;31002
5;2019-01;0.8;31002
6;2020-01;0.8;31002
7;2021-01;0.8;31002
8;2022-01;0.8666666666666667;31002
9;2023-01;0.8666666666666667;31002
10;2024-01;0.9;31002
0;2014-01;0.8666666666666667;31022
1;2015-01;0.7999999999999999;31022
2;2016-01;0.75;31022
3;2017-01;0.8;31022
4;2018-01;0.8666666666666666;31022
5;2019-01;0.7916666666666666;31022
6;2020-01;0.7708333333333333;31022
7;2021-01;0.7083333333333333;31022
8;2022-01;0.6666666666666666;31022
9;2023-01;0.6458333333333333;31022
10;2024-01;0.5833333333333333;31022
0;2014-01;1.0;31096
1;2015-01;1.0;31096
2;2016-01;1.0;31096
3;2017-01;1.0;31096
4;2018-01;1.0;31096
5;2019-01;1.0;31096
6;2020-01;1.0;31096
7;2021-01;1.0;31096
8;2022-01;1.0;31096
9;2023-01;1.0;31096
10;2024-01;1.0;31096
0;2014-01;0.96875;31007
1;2015-01;0.8958333333333334;31007
2;2016-01;0.921875;31007
3;2017-01;0.9;31007
4;2018-01;0.8;31007
5;2019-01;0.7666666666666666;31007
6;2020-01;0.7916666666666666;31007
7;2021-01;0.7916666666666666;31007
8;2022-01;0.7166666666666666;31007
9;2023-01;0.6380952380952382;31007
10;2024-01;0.6595238095238095;31007
0;2014-01;0.6666666666666666;31052
1;2015-01;0.8333333333333333;31052
2;2016-01;0.7777777777777778;31052
3;2017-01;0.8333333333333334;31052
4;2018-01;0.6666666666666666;31052
5;2019-01;0.7777777777777778;31052
6;2020-01;0.8333333333333334;31052
7;2021-01;0.75;31052
8;2022-01;0.5833333333333334;31052
9;2023-01;0.6875;31052
10;2024-01;0.75;31052
0;2014-01;0.8;31023
1;2015-01;0.8;31023
2;2016-01;0.8;31023
3;2017-01;0.7;31023
4;2018-01;0.7;31023
5;2019-01;0.7;31023
6;2020-01;0.6333333333333333;31023
7;2021-01;0.725;31023
8;2022-01;0.725;31023
9;2023-01;0.725;31023
10;2024-01;0.85;31023
0;2014-01;0.8600746268656716;31097
1;2015-01;0.7985074626865671;31097
2;2016-01;0.7327425373134329;31097
3;2017-01;0.6915422885572139;31097
4;2018-01;0.6833333333333333;31097
5;2019-01;0.7333333333333333;31097
6;2020-01;0.6433333333333333;31097
7;2021-01;0.6783333333333333;31097
8;2022-01;0.6666666666666667;31097
9;2023-01;0.7416666666666667;31097
10;2024-01;0.5428571428571429;31097
0;2014-01;0.9210526315789473;31025
1;2015-01;0.912280701754386;31025
2;2016-01;0.7828947368421053;31025
3;2017-01;0.8596491228070176;31025
4;2018-01;0.7651629072681704;31025
5;2019-01;0.8523809523809524;31025
6;2020-01;0.7;31025
7;2021-01;0.7535714285714286;31025
8;2022-01;0.7;31025
9;2023-01;0.6476190476190476;31025
10;2024-01;0.65;31025
0;2014-01;0.75;31044
1;2015-01;0.6875;31044
2;2016-01;0.75;31044
3;2017-01;0.75;31044
4;2018-01;0.8125;31044
5;2019-01;0.75;31044
6;2020-01;0.875;31044
7;2021-01;1.0;31044
8;2022-01;1.0;31044
9;2023-01;1.0;31044
10;2024-01;1.0;31044
0;2014-01;0.7719298245614035;31017
1;2015-01;0.7391812865497075;31017
2;2016-01;0.5649122807017544;31017
3;2017-01;0.5125358851674642;31017
4;2018-01;0.5472727272727272;31017
5;2019-01;0.33965367965367965;31017
6;2020-01;0.4286147186147186;31017
7;2021-01;0.5197186147186147;31017
8;2022-01;0.5401322751322751;31017
9;2023-01;0.604547704386414;31017
10;2024-01;0.6855099380905832;31017
0;2014-01;1.0;31084
1;2015-01;0.9166666666666666;31084
2;2016-01;0.9375;31084
3;2017-01;0.8375;31084
4;2018-01;0.8166666666666668;31084
5;2019-01;0.7166666666666667;31084
6;2020-01;0.7;31084
7;2021-01;0.8333333333333334;31084
8;2022-01;0.8333333333333334;31084
9;2023-01;0.8444444444444444;31084
10;2024-01;0.8822222222222222;31084
0;2014-01;;31046
1;2015-01;;31046
2;2016-01;;31046
3;2017-01;1.0;31046
4;2018-01;;31046
5;2019-01;;31046
6;2020-01;;31046
7;2021-01;;31046
8;2022-01;1.0;31046
9;2023-01;1.0;31046
10;2024-01;1.0;31046
0;2014-01;0.96875;31072
1;2015-01;0.96875;31072
2;2016-01;0.96875;31072
3;2017-01;0.8541666666666666;31072
4;2018-01;0.8833333333333332;31072
5;2019-01;0.9;31072
6;2020-01;0.8428571428571429;31072
7;2021-01;0.8428571428571429;31072
8;2022-01;0.6476190476190476;31072
9;2023-01;0.5976190476190476;31072
10;2024-01;0.6409523809523809;31072
0;2014-01;0.9661016949152542;50001
1;2015-01;0.8988700564971751;50001
2;2016-01;0.8586629001883239;50001
3;2017-01;0.7848210922787194;50001
4;2018-01;0.8511111111111112;50001
5;2019-01;0.7388888888888889;50001
6;2020-01;0.861111111111111;50001
7;2021-01;0.796969696969697;50001
8;2022-01;0.7906204906204907;50001
9;2023-01;0.8706204906204906;50001
10;2024-01;0.7482251082251082;50001
0;2014-01;0.9615384615384616;50003
1;2015-01;0.9743589743589745;50003
2;2016-01;0.8557692307692308;50003
3;2017-01;0.8557692307692308;50003
4;2018-01;0.8557692307692308;50003
5;2019-01;0.8846153846153847;50003
6;2020-01;0.8083333333333332;50003
7;2021-01;0.7833333333333333;50003
8;2022-01;0.7416666666666666;50003
9;2023-01;0.775;50003
10;2024-01;0.7333333333333333;50003
0;2014-01;1.0;50004
1;2015-01;1.0;50004
2;2016-01;0.9666666666666667;50004
3;2017-01;0.8222222222222223;50004
4;2018-01;0.8666666666666667;50004
5;2019-01;0.8733333333333333;50004
6;2020-01;0.72;50004
7;2021-01;0.8;50004
8;2022-01;0.7333333333333333;50004
9;2023-01;0.7;50004
10;2024-01;0.7333333333333333;50004
0;2014-01;0.7989130434782609;15006
1;2015-01;0.8612836438923396;15006
2;2016-01;0.8117236024844721;15006
3;2017-01;0.7751552795031056;15006
4;2018-01;0.8142857142857143;15006
5;2019-01;0.7992857142857143;15006
6;2020-01;0.6766666666666666;15006
7;2021-01;0.6197619047619047;15006
8;2022-01;0.6078571428571429;15006
9;2023-01;0.8178571428571428;15006
10;2024-01;0.6895238095238095;15006
0;2014-01;0.6666666666666666;15003
1;2015-01;1.0;15003
2;2016-01;0.7222222222222222;15003
3;2017-01;0.611111111111111;15003
4;2018-01;0.6666666666666666;15003
5;2019-01;0.6333333333333333;15003
6;2020-01;0.6666666666666666;15003
7;2021-01;0.7916666666666666;15003
8;2022-01;0.8333333333333334;15003
9;2023-01;0.7666666666666667;15003
10;2024-01;0.9;15003
0;2014-01;1.0;15002
1;2015-01;0.75;15002
2;2016-01;0.75;15002
3;2017-01;0.75;15002
4;2018-01;0.75;15002
5;2019-01;0.6666666666666666;15002
6;2020-01;0.5833333333333334;15002
7;2021-01;0.6875;15002
8;2022-01;0.5625;15002
9;2023-01;0.625;15002
10;2024-01;0.75;15002
0;2014-01;0.8333333333333333;25002
1;2015-01;0.6296296296296297;25002
2;2016-01;0.6944444444444444;25002
3;2017-01;0.5666666666666667;25002
4;2018-01;0.6388888888888888;25002
5;2019-01;0.75;25002
