;0;12;24;36;48;60;72;84;96;108;120;132;144;156;168;180;cod_regsaud
2009-01;111.0;109.0;105.0;103.0;101.0;99.0;95.0;90.0;87.0;83.0;81.0;81.0;81.0;79.0;71.0;70.0;31016
2010-01;154.0;150.0;147.0;131.0;128.0;114.0;109.0;109.0;106.0;96.0;88.0;88.0;88.0;73.0;71.0;;31016
2011-01;18.0;18.0;17.0;16.0;17.0;17.0;16.0;16.0;16.0;16.0;15.0;15.0;15.0;15.0;;;31016
2012-01;216.0;212.0;203.0;171.0;163.0;158.0;156.0;148.0;144.0;142.0;138.0;113.0;112.0;;;;31016
2013-01;70.0;67.0;47.0;48.0;46.0;46.0;45.0;41.0;40.0;38.0;36.0;34.0;;;;;31016
2014-01;21.0;19.0;19.0;17.0;16.0;17.0;17.0;15.0;15.0;16.0;16.0;;;;;;31016
2015-01;16.0;12.0;11.0;12.0;11.0;11.0;11.0;11.0;11.0;10.0;;;;;;;31016
2016-01;35.0;35.0;31.0;29.0;27.0;27.0;26.0;25.0;23.0;;;;;;;;31016
2017-01;175.0;145.0;129.0;113.0;111.0;103.0;97.0;94.0;;;;;;;;;31016
2018-01;50.0;42.0;36.0;37.0;31.0;29.0;29.0;;;;;;;;;;31016
2019-01;58.0;56.0;51.0;49.0;48.0;47.0;;;;;;;;;;;31016
2020-01;53.0;48.0;43.0;41.0;39.0;;;;;;;;;;;;31016
2021-01;100.0;93.0;72.0;68.0;;;;;;;;;;;;;31016
2022-01;48.0;47.0;47.0;;;;;;;;;;;;;;31016
2023-01;88.0;86.0;;;;;;;;;;;;;;;31016
2024-01;43.0;;;;;;;;;;;;;;;;31016
2010-01;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;;31001
2014-01;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;;;;;;31001
2018-01;1.0;1.0;;;;;;;;;;;;;;;31001
2020-01;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;31001
2021-01;1.0;1.0;1.0;1.0;;;;;;;;;;;;;31001
2009-01;15.0;9.0;9.0;8.0;8.0;8.0;8.0;8.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;31037
2010-01;13.0;12.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;7.0;5.0;;31037
2011-01;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;31037
